# HOMER Peaks
# Peak finding parameters:
# tag directory = LXR_gw_chip/
#
# total peaks = 504
# peak size = 99
# peaks found using tags on both strands
# minimum distance between peaks = 198
# fragment length = 98
# genome size = 2000000000
# Total tags = 19684936.0
# Total tags in peaks = 5544.0
# Approximate IP efficiency = 0.03%
# tags per bp = 0.009819
# expected tags per peak = 0.972
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.050000000
# FDR effective poisson threshold = 8.958906e-07
# FDR tag threshold = 9.0
# number of putative peaks = 1616
#
# input tag directory = LXR_gw_input/
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1062
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 50
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = findPeaks LXR_gw_chip/ -center -i LXR_gw_input/ -o LXR_gw_fdr005.txt -fdr 0.05
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chrX-94	chrX	82552083	82552181	+	4.6	0.625	9.000000	7.5	1.0	7.48	8.32e-05	7.41	1.77e-05	0.85
chrX-84	chrX	86798633	86798731	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	9.47	6.71e-07	0.86
chrX-112	chrX	97729218	97729316	+	4.6	0.692	9.000000	7.5	1.0	7.48	8.32e-05	8.04	2.80e-06	0.86
chrX-23	chrX	112315359	112315457	+	4.6	0.857	11.000000	7.5	1.0	7.48	8.32e-05	14.29	2.29e-08	0.86
chrX-107	chrX	115245261	115245359	+	4.6	0.818	9.000000	7.5	1.0	7.48	8.32e-05	12.86	5.52e-08	0.86
chrX-35	chrX	130235096	130235194	+	4.6	0.769	10.000000	7.5	1.0	7.48	8.32e-05	8.91	1.22e-06	0.86
chrX-101	chrX	130501633	130501731	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	7.03	8.08e-06	0.86
chrX-75	chrX	133275482	133275580	+	4.6	0.857	9.000000	7.5	1.0	7.48	8.32e-05	6.87	9.69e-06	0.86
chrX-68	chrX	138418563	138418661	+	4.6	0.643	9.000000	7.5	0.5	14.96	9.40e-07	8.26	2.25e-06	0.86
chrX-44	chrX	140251477	140251575	+	4.6	0.857	10.000000	7.5	1.0	7.48	8.32e-05	6.98	8.59e-06	0.86
chrX-108	chrX	147338098	147338196	+	4.6	0.667	9.000000	7.5	1.0	7.48	8.32e-05	7.69	1.35e-05	0.85
chrX-118	chrX	148519419	148519517	+	4.6	0.562	9.000000	7.5	1.0	7.48	8.32e-05	9.78	5.18e-07	0.86
chrX-61	chrX	149012700	149012798	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	12.50	6.97e-08	0.86
chrX-109	chrX	155909752	155909850	+	4.6	0.750	9.000000	7.5	1.0	7.48	8.32e-05	7.56	4.54e-06	0.86
chrX-62	chrX	159525389	159525487	+	4.6	0.818	9.000000	7.5	0.5	14.96	9.40e-07	7.14	7.14e-06	0.86
chrX-63	chrX	162621871	162621969	+	4.6	0.900	9.000000	7.5	1.0	7.48	8.32e-05	9.09	9.35e-07	0.86
chrX-41	chrX	162658945	162659043	+	4.6	0.769	10.000000	7.5	1.0	7.48	8.32e-05	5.92	3.07e-05	0.86
chrX-28	chrX	163618891	163618989	+	4.6	0.750	10.000000	7.5	1.0	7.48	8.32e-05	7.14	7.14e-06	0.86
chrX-67	chrX	164135715	164135813	+	4.6	0.909	9.000000	7.5	1.0	7.48	8.32e-05	7.69	3.97e-06	0.86
chrX-64	chrX	164148287	164148385	+	4.6	0.909	9.000000	7.5	0.5	14.96	9.40e-07	5.88	8.74e-05	0.85
chrX-121	chrX	164409633	164409731	+	4.6	0.769	9.000000	7.5	1.0	7.48	8.32e-05	10.00	4.34e-07	0.86
chrX-114	chrX	166138307	166138405	+	4.6	0.692	9.000000	7.5	0.5	14.96	9.40e-07	7.69	3.97e-06	0.86
chrX-111	chrX	166584346	166584444	+	4.6	0.714	9.000000	7.5	1.0	7.48	8.32e-05	36.00	8.18e-12	0.86
chr1-151	chr1	42613340	42613438	+	4.1	0.818	9.000000	7.5	0.5	14.96	9.40e-07	9.88	2.04e-06	0.85
chr1-132	chr1	143340357	143340455	+	4.1	0.900	9.000000	6.7	0.5	13.30	1.32e-05	11.94	5.15e-07	0.85
chr1-142	chr1	163411346	163411444	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	9.30	3.14e-06	0.85
chr2-34	chr2	17213277	17213375	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	10.00	1.87e-06	0.85
chr2-44	chr2	51134705	51134803	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	10.13	1.71e-06	0.85
chr2-43	chr2	57357665	57357763	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	11.60	6.39e-07	0.85
chr2-31	chr2	78441989	78442087	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	11.11	8.71e-07	0.85
chr2-39	chr2	83099849	83099947	+	4.1	0.750	9.000000	7.5	1.0	7.48	8.32e-05	11.94	5.15e-07	0.85
chr2-35	chr2	90395531	90395629	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	6.96	2.75e-05	0.85
chr2-52	chr2	146896509	146896607	+	4.1	0.769	9.000000	6.7	0.5	13.30	1.32e-05	9.64	2.43e-06	0.85
chr3-15	chr3	8061853	8061951	+	4.1	0.900	9.000000	7.5	0.5	14.96	9.40e-07	12.90	2.91e-07	0.85
chr3-22	chr3	76338148	76338246	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	14.55	1.20e-07	0.85
chr4-48	chr4	80995502	80995600	+	4.1	0.900	9.000000	6.7	0.5	13.30	1.32e-05	9.64	2.43e-06	0.85
chr5-56	chr5	6449587	6449685	+	4.1	0.643	9.000000	6.7	0.5	13.30	1.32e-05	7.62	1.45e-05	0.85
chr5-51	chr5	30714905	30715003	+	4.1	0.615	9.000000	6.7	0.5	13.30	1.32e-05	7.84	1.18e-05	0.85
chr5-120	chr5	43384285	43384383	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	9.76	2.23e-06	0.85
chr5-66	chr5	45510717	45510815	+	4.1	0.917	9.000000	6.7	0.5	13.30	1.32e-05	6.78	3.29e-05	0.85
chr5-77	chr5	51464501	51464599	+	4.1	0.643	9.000000	7.5	0.5	14.96	9.40e-07	6.84	3.10e-05	0.85
chr5-107	chr5	51644941	51645039	+	4.1	0.833	9.000000	6.7	0.5	13.30	1.32e-05	8.79	4.69e-06	0.85
chr5-80	chr5	51700970	51701068	+	4.1	0.833	9.000000	6.7	0.5	13.30	1.32e-05	8.42	6.36e-06	0.85
chr5-124	chr5	66964704	66964802	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	6.45	4.64e-05	0.85
chr5-59	chr5	72584665	72584763	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	6.96	2.75e-05	0.85
chr5-108	chr5	115571893	115571991	+	4.1	0.727	9.000000	6.7	0.5	13.30	1.32e-05	8.60	5.47e-06	0.85
chr5-146	chr5	122976298	122976396	+	4.1	0.833	9.000000	6.7	0.5	13.30	1.32e-05	6.61	3.91e-05	0.85
chr5-145	chr5	123976398	123976496	+	4.1	0.786	9.000000	6.7	0.5	13.30	1.32e-05	6.35	5.18e-05	0.85
chr5-81	chr5	126436856	126436954	+	4.1	0.846	9.000000	6.7	0.5	13.30	1.32e-05	6.90	2.92e-05	0.85
chr5-64	chr5	130393938	130394036	+	4.1	0.667	9.000000	6.7	0.5	13.30	1.32e-05	6.84	3.10e-05	0.85
chr5-54	chr5	145549623	145549721	+	4.1	0.667	9.000000	6.7	0.5	13.30	1.32e-05	6.15	6.42e-05	0.85
chr6-18	chr6	123178788	123178886	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	15.39	7.88e-08	0.85
chr8-55	chr8	23427984	23428082	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	9.09	3.70e-06	0.85
chr8-62	chr8	34589534	34589632	+	4.1	0.917	9.000000	6.7	0.5	13.30	1.32e-05	11.60	6.39e-07	0.85
chr8-41	chr8	81296851	81296949	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	7.34	1.89e-05	0.85
chr8-43	chr8	84613725	84613823	+	4.1	0.900	9.000000	6.7	0.5	13.30	1.32e-05	8.25	7.36e-06	0.85
chr9-66	chr9	72275702	72275800	+	4.1	0.643	9.000000	6.7	0.5	13.30	1.32e-05	9.41	2.89e-06	0.85
chr10-23	chr10	39939966	39940064	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	9.52	2.65e-06	0.85
chr10-28	chr10	62745892	62745990	+	4.1	0.692	9.000000	6.7	0.5	13.30	1.32e-05	8.79	4.69e-06	0.85
chr10-11	chr10	107825353	107825451	+	4.1	0.909	10.000000	6.7	0.5	13.30	1.32e-05	8.00	9.12e-06	0.85
chr10-33	chr10	113841224	113841322	+	4.1	0.833	9.000000	6.7	0.5	13.30	1.32e-05	7.92	1.10e-05	0.85
chr11-230	chr11	26313708	26313806	+	4.1	0.692	9.000000	6.7	0.5	13.30	1.32e-05	7.27	2.01e-05	0.85
chr11-242	chr11	28508658	28508756	+	4.1	0.643	9.000000	6.7	0.5	13.30	1.32e-05	8.25	7.36e-06	0.85
chr11-204	chr11	29283903	29284001	+	4.1	0.833	9.000000	6.7	0.5	13.30	1.32e-05	6.50	4.39e-05	0.85
chr11-228	chr11	32286938	32287036	+	4.1	0.750	9.000000	7.5	0.5	14.96	9.40e-07	6.78	3.29e-05	0.85
chr11-240	chr11	43755069	43755167	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	6.15	6.42e-05	0.85
chr11-207	chr11	46252951	46253049	+	4.1	0.909	9.000000	7.5	0.5	14.96	9.40e-07	7.62	1.45e-05	0.85
chr11-233	chr11	49106643	49106741	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	10.96	9.63e-07	0.85
chr11-203	chr11	63811258	63811356	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	8.42	6.36e-06	0.85
chr11-209	chr11	104628599	104628697	+	4.1	0.818	9.000000	7.5	0.5	14.96	9.40e-07	10.13	1.71e-06	0.85
chr12-20	chr12	4611964	4612062	+	4.1	0.786	9.000000	6.7	0.5	13.30	1.32e-05	8.00	9.12e-06	0.85
chr12-12	chr12	59953157	59953255	+	4.1	0.750	9.000000	7.5	1.0	7.48	8.32e-05	9.30	3.14e-06	0.85
chr12-9	chr12	66526437	66526535	+	4.1	0.786	9.000000	6.7	0.5	13.30	1.32e-05	8.42	6.36e-06	0.85
chr12-8	chr12	115776273	115776371	+	4.1	0.667	9.000000	6.7	0.5	13.30	1.32e-05	22.86	3.93e-09	0.85
chr13-25	chr13	11325333	11325431	+	4.1	0.818	9.000000	7.5	1.0	7.48	8.32e-05	10.81	1.06e-06	0.85
chr13-19	chr13	119593256	119593354	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	10.53	1.29e-06	0.85
chr15-100	chr15	5489788	5489886	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	7.62	1.45e-05	0.85
chr15-127	chr15	6800262	6800360	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	6.02	7.51e-05	0.85
chr15-49	chr15	10914739	10914837	+	4.1	0.500	9.000000	6.7	0.5	13.30	1.32e-05	6.50	4.39e-05	0.85
chr15-111	chr15	17583965	17584063	+	4.1	0.667	9.000000	7.5	0.5	14.96	9.40e-07	8.51	5.90e-06	0.85
chr15-142	chr15	44700793	44700891	+	4.1	0.692	9.000000	6.7	0.5	13.30	1.32e-05	7.41	1.77e-05	0.85
chr15-138	chr15	57487162	57487260	+	4.1	0.833	9.000000	6.7	0.5	13.30	1.32e-05	6.90	2.92e-05	0.85
chr15-141	chr15	81471471	81471569	+	4.1	0.692	9.000000	6.7	0.5	13.30	1.32e-05	6.30	5.47e-05	0.85
chr15-115	chr15	81621572	81621670	+	4.1	0.900	9.000000	7.5	0.5	14.96	9.40e-07	7.48	1.65e-05	0.85
chr15-144	chr15	83319206	83319304	+	4.1	0.900	9.000000	6.7	0.5	13.30	1.32e-05	7.92	1.10e-05	0.85
chr16-37	chr16	48141074	48141172	+	4.1	0.909	9.000000	7.5	0.5	14.96	9.40e-07	28.57	7.08e-10	0.85
chr16-55	chr16	52023902	52024000	+	4.1	0.909	9.000000	6.7	0.5	13.30	1.32e-05	7.08	2.43e-05	0.85
chr16-51	chr16	75356659	75356757	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	8.51	5.90e-06	0.85
chr16-40	chr16	79963186	79963284	+	4.1	0.769	9.000000	6.7	0.5	13.30	1.32e-05	8.51	5.90e-06	0.85
chr17-34	chr17	16589354	16589452	+	4.1	0.833	9.000000	6.7	0.5	13.30	1.32e-05	10.67	1.17e-06	0.85
chr17-32	chr17	50283615	50283713	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	11.43	7.09e-07	0.85
chr17-40	chr17	57399408	57399506	+	4.1	0.833	9.000000	6.7	0.5	13.30	1.32e-05	8.70	5.07e-06	0.85
chr17-35	chr17	70888371	70888469	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	9.52	2.65e-06	0.85
chr17-36	chr17	84148562	84148660	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	7.77	1.26e-05	0.85
chr18-22	chr18	55671002	55671100	+	4.1	0.714	9.000000	6.7	0.5	13.30	1.32e-05	9.52	2.65e-06	0.85
chr18-23	chr18	90745020	90745118	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	10.53	1.29e-06	0.85
chr19-57	chr19	7682263	7682361	+	4.1	0.667	9.000000	6.7	0.5	13.30	1.32e-05	8.42	6.36e-06	0.85
chr19-81	chr19	10686105	10686203	+	4.1	0.769	9.000000	6.7	0.5	13.30	1.32e-05	6.90	2.92e-05	0.85
chr19-127	chr19	16326278	16326376	+	4.1	0.769	9.000000	6.7	0.5	13.30	1.32e-05	7.55	1.55e-05	0.85
chr19-53	chr19	19487608	19487706	+	4.1	0.900	9.000000	6.7	0.5	13.30	1.32e-05	9.64	2.43e-06	0.85
chr19-72	chr19	28809485	28809583	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	9.88	2.04e-06	0.85
chr19-78	chr19	32231752	32231850	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	9.64	2.43e-06	0.85
chr19-160	chr19	48029019	48029117	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	6.45	4.64e-05	0.85
chr19-109	chr19	49436165	49436263	+	4.1	0.692	9.000000	6.7	0.5	13.30	1.32e-05	5.88	8.74e-05	0.85
chr19-93	chr19	49867160	49867258	+	4.1	0.750	9.000000	6.7	0.5	13.30	1.32e-05	6.96	2.75e-05	0.85
chr19-82	chr19	50233865	50233963	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	6.78	3.29e-05	0.85
chr19-52	chr19	51998279	51998377	+	4.1	0.688	9.000000	6.7	0.5	13.30	1.32e-05	6.67	3.70e-05	0.85
chrX-79	chrX	38644504	38644602	+	4.1	0.846	9.000000	6.7	0.5	13.30	1.32e-05	9.88	2.04e-06	0.85
chrX-53	chrX	49922313	49922411	+	4.1	0.692	9.000000	6.7	0.5	13.30	1.32e-05	6.67	3.70e-05	0.85
chrX-83	chrX	65815456	65815554	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	8.42	6.36e-06	0.85
chrX-98	chrX	107369110	107369208	+	4.1	0.615	9.000000	6.7	0.5	13.30	1.32e-05	9.41	2.89e-06	0.85
chrX-80	chrX	134541390	134541488	+	4.1	0.714	9.000000	6.7	0.5	13.30	1.32e-05	7.69	1.35e-05	0.85
chrX-120	chrX	138975553	138975651	+	4.1	0.750	9.000000	7.5	1.0	7.48	8.32e-05	6.45	4.64e-05	0.85
chrX-30	chrX	139016052	139016150	+	4.1	0.923	10.000000	7.5	1.0	7.48	8.32e-05	7.34	1.89e-05	0.85
chrX-129	chrX	153481154	153481252	+	4.1	0.818	9.000000	6.7	0.5	13.30	1.32e-05	7.92	1.10e-05	0.85
chrX-72	chrX	157428505	157428603	+	4.1	0.727	9.000000	6.7	0.5	13.30	1.32e-05	6.78	3.29e-05	0.85
chr9-72	chr9	124036415	124036513	+	3.6	0.750	9.000000	6.7	0.5	13.30	1.32e-05	11.29	3.76e-06	0.84
